Kernel,Gamma,Degree,Coef0,MSE,PSNR
sigmoid,1e-06,2,1,0.015969781,17.650682
sigmoid,1e-06,2,10,0.015967824,17.651215
sigmoid,1e-06,3,0,0.41919753,3.459484
sigmoid,1e-06,3,1,0.015969781,17.650682
sigmoid,1e-06,3,10,0.015967824,17.651215
sigmoid,1e-06,4,0,0.41919753,3.459484
sigmoid,1e-06,4,1,0.015969781,17.650682
sigmoid,1e-06,4,10,0.015967824,17.651215
sigmoid,1e-06,5,0,0.41919753,3.459484
sigmoid,1e-06,5,1,0.015969781,17.650682
sigmoid,1e-06,5,10,0.015967824,17.651215
sigmoid,1e-06,6,0,0.41919753,3.459484
sigmoid,1e-06,6,1,0.015969781,17.650682
sigmoid,1e-06,6,10,0.015967824,17.651215
