N,Noise,MSE,PSNR
46,speckle,0.0021220456113742957,26.416124310410936
42,speckle,0.0021246976518294845,26.410700075349798
46,speckle,0.00212501835914255,26.410044589588985
41,speckle,0.0021324742294968535,26.394833539444228
145,speckle,0.002136716747583341,26.386201914338933
40,speckle,0.0021395347581004264,26.38047799191272
45,speckle,0.0021519952003319943,26.355258470844095
39,speckle,0.0021613251538553802,26.33647037574174
146,speckle,0.002177996470366434,26.303099738499284
43,speckle,0.0021911681533570955,26.276914382429535
163,speckle,0.002197202849269303,26.264969919278553
147,speckle,0.0022018497610361122,26.255794630562338
142,speckle,0.0022109348178996815,26.23791206427002
44,speckle,0.0022111446177727396,26.237499973403867
40,speckle,0.002213605071330231,26.232670043630595
42,speckle,0.0022207767724982987,26.218622390232973
154,speckle,0.0022305788075592772,26.19949573749774
149,speckle,0.0022318000126917243,26.197118697426077
41,speckle,0.0022322616277924,26.19622051586925
152,speckle,0.002238558828065575,26.183986335742198
153,speckle,0.002247265546679907,26.16712751880175
148,speckle,0.0022483763962481834,26.16498128093997
151,speckle,0.002248730464501393,26.164297419543452
38,speckle,0.002264560317886711,26.133832525978885
39,speckle,0.0022812455080669235,26.101951188131345
36,speckle,0.0022935418892381224,26.07860468965321
155,speckle,0.002294679306251663,26.0764514632865
165,speckle,0.002296432906842668,26.07313383974857
160,speckle,0.002301841594296862,26.062917119548786
35,speckle,0.002302950100754739,26.060826174815602
37,speckle,0.0023034727700135494,26.05984062753823
150,speckle,0.002304581894518963,26.057749998425454
144,speckle,0.002308131213079253,26.051066514178707
32,speckle,0.002318546769521399,26.031512845878506
164,speckle,0.002328089827546777,26.0136741224002
38,speckle,0.00232991184504994,26.010276561628306
33,speckle,0.0023320495225392394,26.00629376756565
35,speckle,0.002334145004066937,26.002393132388967
34,speckle,0.0023362941973229623,25.998396151388803
159,speckle,0.002338330044135659,25.99461335710638
36,speckle,0.0023396970064206916,25.99207526064888
37,speckle,0.0023430581254891563,25.98584082953296
171,speckle,0.0023437754383697175,25.984511467079553
157,speckle,0.0023475670876165764,25.977491332887027
156,speckle,0.0023512884372313726,25.970612372968866
34,speckle,0.002354463650513128,25.96475155501374
162,speckle,0.0023588385392968067,25.9566893068199
33,speckle,0.0023636776578962334,25.947788953055905
32,speckle,0.002379242371033322,25.919284600241255
31,speckle,0.00238808784355069,25.903168475955496
30,speckle,0.002388729303279902,25.902002082460115
29,speckle,0.0023995451389327476,25.88238221402198
30,speckle,0.002408043221055067,25.86702867815314
172,speckle,0.002408931392727297,25.865427141539268
29,speckle,0.0024147667552246767,25.854919572901935
31,speckle,0.002415763272964175,25.853127710895087
27,speckle,0.002416419406929728,25.851948304480814
161,speckle,0.002418119885708654,25.84889316918856
28,speckle,0.002418571416025932,25.848082296161763
158,speckle,0.0024409268794976955,25.808123755887642
28,speckle,0.0024485971385985543,25.7944980781225
166,speckle,0.002449919283075281,25.792153694578438
27,speckle,0.002450708029467981,25.79075571759679
26,speckle,0.0024519554855773097,25.788545640096157
25,speckle,0.0024554861194407587,25.782296619965173
26,speckle,0.002470240826912093,25.75627850214408
23,speckle,0.0024735324997933006,25.75049524516477
25,speckle,0.002476494860911578,25.745297143631536
24,speckle,0.0024768644074220397,25.744649130830915
24,speckle,0.0024825349015056303,25.734717825808133
51,localvar,0.0024850942683458136,25.730242777626394
23,speckle,0.00249574902949337,25.711662345543665
169,speckle,0.0025187739640357594,25.671779500030986
177,speckle,0.002525666735293791,25.65991101127738
50,localvar,0.002539486454430158,25.636212448053698
167,speckle,0.0025449270518777397,25.626918072808124
46,localvar,0.002544950619997317,25.62687785375006
41,localvar,0.0025466457831703287,25.623986029729178
55,localvar,0.002551799047577573,25.615206744545986
44,localvar,0.00255454562234004,25.610534821847413
186,speckle,0.002558405043777817,25.603978428635138
42,gaussian,0.002560966641390247,25.599632239808866
176,speckle,0.0025637908086152948,25.59484559233164
49,localvar,0.002563893662228196,25.594671366492328
47,localvar,0.002566241341883558,25.590696483219446
56,localvar,0.00256632687101828,25.590551741524003
52,gaussian,0.002567644458482987,25.588322586193037
53,localvar,0.0025682275724729195,25.587336412130636
63,localvar,0.0025683665457676653,25.587101410751643
41,localvar,0.0025702683111515465,25.583886836169874
54,localvar,0.002570465965872145,25.58355287471653
45,localvar,0.0025742456074961018,25.577171650918977
62,localvar,0.002574677741522276,25.576442669690366
179,speckle,0.0025760037909038215,25.574206476525497
59,localvar,0.0025796209417999266,25.568112515022925
52,localvar,0.0025800825809692346,25.567335387641435
43,localvar,0.0025839404368318665,25.560846470690308
168,speckle,0.002585014377481236,25.559041825374656
48,localvar,0.002586192721358368,25.557062603724084
