Kernel,Gamma,Degree,Coef0,MSE,PSNR
cosine,1e-05,2,10,0.11504304,9.0750675
cosine,1e-05,3,0,0.11504304,9.0750675
cosine,1e-05,3,1,0.11504304,9.0750675
cosine,1e-05,3,10,0.11504304,9.0750675
cosine,1e-05,4,0,0.11504304,9.0750675
cosine,1e-05,4,1,0.11504304,9.0750675
cosine,1e-05,4,10,0.11504304,9.0750675
cosine,1e-05,5,0,0.11504304,9.0750675
cosine,1e-05,5,1,0.11504304,9.0750675
cosine,1e-05,5,10,0.11504304,9.0750675
cosine,1e-05,6,0,0.11504304,9.0750675
cosine,1e-05,6,1,0.11504304,9.0750675
cosine,1e-05,6,10,0.11504304,9.0750675
cosine,1e-06,2,0,0.11504304,9.0750675
cosine,1e-06,2,1,0.11504304,9.0750675
cosine,1e-06,2,10,0.11504304,9.0750675
cosine,1e-06,3,0,0.11504304,9.0750675
cosine,1e-06,3,1,0.11504304,9.0750675
cosine,1e-06,3,10,0.11504304,9.0750675
cosine,1e-06,4,0,0.11504304,9.0750675
cosine,1e-06,4,1,0.11504304,9.0750675
cosine,1e-06,4,10,0.11504304,9.0750675
cosine,1e-06,5,0,0.11504304,9.0750675
cosine,1e-06,5,1,0.11504304,9.0750675
cosine,1e-06,5,10,0.11504304,9.0750675
cosine,1e-06,6,0,0.11504304,9.0750675
cosine,1e-06,6,1,0.11504304,9.0750675
cosine,1e-06,6,10,0.11504304,9.0750675
sigmoid,0.001,2,0,0.41937354,3.4576612
sigmoid,0.001,2,1,0.0120246485,18.882946
sigmoid,0.001,2,10,0.012041274,18.876947
sigmoid,0.001,3,0,0.41937354,3.4576612
sigmoid,0.001,3,1,0.0120246485,18.882946
sigmoid,0.001,3,10,0.012041274,18.876947
sigmoid,0.001,4,0,0.41937354,3.4576612
sigmoid,0.001,4,1,0.0120246485,18.882946
sigmoid,0.001,4,10,0.012041274,18.876947
sigmoid,0.001,5,0,0.41937354,3.4576612
sigmoid,0.001,5,1,0.0120246485,18.882946
sigmoid,0.001,5,10,0.012041274,18.876947
sigmoid,0.001,6,0,0.41937354,3.4576612
sigmoid,0.001,6,1,0.0120246485,18.882946
sigmoid,0.001,6,10,0.012041274,18.876947
sigmoid,0.0001,2,0,0.4186439,3.4652238
sigmoid,0.0001,2,1,0.01203361,18.879711
sigmoid,0.0001,2,10,0.012041274,18.876947
sigmoid,0.0001,3,0,0.4186439,3.4652238
sigmoid,0.0001,3,1,0.01203361,18.879711
sigmoid,0.0001,3,10,0.012041274,18.876947
sigmoid,0.0001,4,0,0.4186439,3.4652238
sigmoid,0.0001,4,1,0.01203361,18.879711
sigmoid,0.0001,4,10,0.012041274,18.876947
sigmoid,0.0001,5,0,0.4186439,3.4652238
sigmoid,0.0001,5,1,0.01203361,18.879711
sigmoid,0.0001,5,10,0.012041274,18.876947
sigmoid,0.0001,6,0,0.4186439,3.4652238
sigmoid,0.0001,6,1,0.01203361,18.879711
sigmoid,0.0001,6,10,0.012041274,18.876947
sigmoid,1e-05,2,0,0.41919166,3.4595454
sigmoid,1e-05,2,1,0.012042868,18.876373
sigmoid,1e-05,2,10,0.012041274,18.876947
sigmoid,1e-05,3,0,0.41919166,3.4595454
sigmoid,1e-05,3,1,0.012042868,18.876373
sigmoid,1e-05,3,10,0.012041274,18.876947
sigmoid,1e-05,4,0,0.41919166,3.4595454
sigmoid,1e-05,4,1,0.012042868,18.876373
sigmoid,1e-05,4,10,0.012041274,18.876947
sigmoid,1e-05,5,0,0.41919166,3.4595454
sigmoid,1e-05,5,1,0.012042868,18.876373
sigmoid,1e-05,5,10,0.012041274,18.876947
sigmoid,1e-05,6,0,0.41919166,3.4595454
sigmoid,1e-05,6,1,0.012042868,18.876373
sigmoid,1e-05,6,10,0.012041274,18.876947
sigmoid,1e-06,2,0,0.41919753,3.459484
sigmoid,1e-06,2,1,0.012042868,18.876373
sigmoid,1e-06,2,10,0.012041274,18.876947
sigmoid,1e-06,3,0,0.41919753,3.459484
sigmoid,1e-06,3,1,0.012042868,18.876373
sigmoid,1e-06,3,10,0.012041274,18.876947
sigmoid,1e-06,4,0,0.41919753,3.459484
sigmoid,1e-06,4,1,0.012042868,18.876373
sigmoid,1e-06,4,10,0.012041274,18.876947
sigmoid,1e-06,5,0,0.41919753,3.459484
sigmoid,1e-06,5,1,0.012042868,18.876373
sigmoid,1e-06,5,10,0.012041274,18.876947
sigmoid,1e-06,6,0,0.41919753,3.459484
sigmoid,1e-06,6,1,0.012042868,18.876373
sigmoid,1e-06,6,10,0.012041274,18.876947
