Kernel,Gamma,Degree,Coef0,MSE,PSNR
poly,1e-06,5,10,0.0019443141070409288,26.796007182346266
poly,1e-06,6,0,0.41919758657063033,3.4594837182135265
poly,1e-06,6,1,0.015642701124016955,17.74055397887227
poly,1e-06,6,10,0.0018726492807798313,26.959106973323735
cosine,0.001,2,0,0.14561839237030663,8.051509133350178
cosine,0.001,2,1,0.14561839237030663,8.051509133350178
cosine,0.001,2,10,0.14561839237030663,8.051509133350178
cosine,0.001,3,0,0.14561839237030663,8.051509133350178
cosine,0.001,3,1,0.14561839237030663,8.051509133350178
cosine,0.001,3,10,0.14561839237030663,8.051509133350178
cosine,0.001,4,0,0.14561839237030663,8.051509133350178
cosine,0.001,4,1,0.14561839237030663,8.051509133350178
cosine,0.001,4,10,0.14561839237030663,8.051509133350178
cosine,0.001,5,0,0.14561839237030663,8.051509133350178
cosine,0.001,5,1,0.14561839237030663,8.051509133350178
cosine,0.001,5,10,0.14561839237030663,8.051509133350178
cosine,0.001,6,0,0.14561839237030663,8.051509133350178
cosine,0.001,6,1,0.14561839237030663,8.051509133350178
cosine,0.001,6,10,0.14561839237030663,8.051509133350178
cosine,0.0001,2,0,0.14561839237030663,8.051509133350178
cosine,0.0001,2,1,0.14561839237030663,8.051509133350178
cosine,0.0001,2,10,0.14561839237030663,8.051509133350178
cosine,0.0001,3,0,0.14561839237030663,8.051509133350178
cosine,0.0001,3,1,0.14561839237030663,8.051509133350178
cosine,0.0001,3,10,0.14561839237030663,8.051509133350178
cosine,0.0001,4,0,0.14561839237030663,8.051509133350178
cosine,0.0001,4,1,0.14561839237030663,8.051509133350178
cosine,0.0001,4,10,0.14561839237030663,8.051509133350178
cosine,0.0001,5,0,0.14561839237030663,8.051509133350178
cosine,0.0001,5,1,0.14561839237030663,8.051509133350178
cosine,0.0001,5,10,0.14561839237030663,8.051509133350178
cosine,0.0001,6,0,0.14561839237030663,8.051509133350178
cosine,0.0001,6,1,0.14561839237030663,8.051509133350178
cosine,0.0001,6,10,0.14561839237030663,8.051509133350178
cosine,1e-05,2,0,0.14561839237030663,8.051509133350178
cosine,1e-05,2,1,0.14561839237030663,8.051509133350178
cosine,1e-05,2,10,0.14561839237030663,8.051509133350178
cosine,1e-05,3,0,0.14561839237030663,8.051509133350178
cosine,1e-05,3,1,0.14561839237030663,8.051509133350178
cosine,1e-05,3,10,0.14561839237030663,8.051509133350178
cosine,1e-05,4,0,0.14561839237030663,8.051509133350178
cosine,1e-05,4,1,0.14561839237030663,8.051509133350178
cosine,1e-05,4,10,0.14561839237030663,8.051509133350178
cosine,1e-05,5,0,0.14561839237030663,8.051509133350178
cosine,1e-05,5,1,0.14561839237030663,8.051509133350178
cosine,1e-05,5,10,0.14561839237030663,8.051509133350178
cosine,1e-05,6,0,0.14561839237030663,8.051509133350178
cosine,1e-05,6,1,0.14561839237030663,8.051509133350178
cosine,1e-05,6,10,0.14561839237030663,8.051509133350178
cosine,1e-06,2,0,0.14561839237030663,8.051509133350178
cosine,1e-06,2,1,0.14561839237030663,8.051509133350178
cosine,1e-06,2,10,0.14561839237030663,8.051509133350178
cosine,1e-06,3,0,0.14561839237030663,8.051509133350178
cosine,1e-06,3,1,0.14561839237030663,8.051509133350178
cosine,1e-06,3,10,0.14561839237030663,8.051509133350178
cosine,1e-06,4,0,0.14561839237030663,8.051509133350178
cosine,1e-06,4,1,0.14561839237030663,8.051509133350178
cosine,1e-06,4,10,0.14561839237030663,8.051509133350178
cosine,1e-06,5,0,0.14561839237030663,8.051509133350178
cosine,1e-06,5,1,0.14561839237030663,8.051509133350178
cosine,1e-06,5,10,0.14561839237030663,8.051509133350178
cosine,1e-06,6,0,0.14561839237030663,8.051509133350178
cosine,1e-06,6,1,0.14561839237030663,8.051509133350178
cosine,1e-06,6,10,0.14561839237030663,8.051509133350178
sigmoid,0.001,2,0,0.41959249834302637,3.4553943037259867
sigmoid,0.001,2,1,0.01562020493600285,17.74680417966033
sigmoid,0.001,2,10,0.015643074400591706,17.74045034586083
sigmoid,0.001,3,0,0.41959249834302637,3.4553943037259867
sigmoid,0.001,3,1,0.01562020493600285,17.74680417966033
sigmoid,0.001,3,10,0.015643074400591706,17.74045034586083
sigmoid,0.001,4,0,0.41959249834302637,3.4553943037259867
sigmoid,0.001,4,1,0.01562020493600285,17.74680417966033
sigmoid,0.001,4,10,0.015643074400591706,17.74045034586083
